profile,time_s,position_m,speed_mps
fixed cruise baseline,7.0,84.0,12.0
fixed cruise baseline,8.0,96.0,12.0
fixed cruise baseline,9.0,108.0,12.0
fixed cruise baseline,10.0,120.0,12.0
fixed cruise baseline,11.0,132.0,12.0
fixed cruise baseline,12.0,144.0,12.0
fixed cruise baseline,13.0,156.0,12.0
fixed cruise baseline,14.0,168.0,12.0
fixed cruise baseline,15.0,180.0,12.0
fixed cruise baseline,16.0,192.0,12.0
fixed cruise baseline,17.0,204.0,12.0
fixed cruise baseline,18.0,216.0,12.0
fixed cruise baseline,19.0,228.0,12.0
fixed cruise baseline,20.0,240.0,12.0
fixed cruise baseline,21.0,252.0,12.0
fixed cruise baseline,22.0,264.0,12.0
fixed cruise baseline,23.0,276.0,12.0
fixed cruise baseline,23.333,280.0,12.0
fixed cruise baseline,24.333,292.0,12.0
fixed cruise baseline,25.333,304.0,12.0
fixed cruise baseline,26.333,316.0,12.0
fixed cruise baseline,27.333,328.0,12.0
fixed cruise baseline,28.333,340.0,12.0
fixed cruise baseline,29.333,352.0,12.0
fixed cruise baseline,30.333,364.0,12.0
fixed cruise baseline,31.333,376.0,12.0
fixed cruise baseline,32.333,388.0,12.0
fixed cruise baseline,33.333,400.0,12.0
fixed cruise baseline,34.333,412.0,12.0
fixed cruise baseline,35.333,424.0,12.0
fixed cruise baseline,36.333,436.0,12.0
fixed cruise baseline,37.333,448.0,12.0
fixed cruise baseline,38.333,460.0,12.0
fixed cruise baseline,39.333,472.0,12.0
fixed cruise baseline,40.333,484.0,12.0
fixed cruise baseline,41.333,496.0,12.0
fixed cruise baseline,42.333,508.0,12.0
fixed cruise baseline,43.333,520.0,12.0
fixed cruise baseline,44.333,532.0,12.0
fixed cruise baseline,45.333,544.0,12.0
fixed cruise baseline,46.333,556.0,12.0
fixed cruise baseline,47.333,568.0,12.0
fixed cruise baseline,48.333,580.0,12.0
fixed cruise baseline,49.333,592.0,12.0
fixed cruise baseline,50.333,604.0,12.0
fixed cruise baseline,50.833,610.0,0.0
fixed cruise baseline,106.0,610.0,0.0
fixed cruise baseline,107.0,622.0,12.0
fixed cruise baseline,108.0,634.0,12.0
fixed cruise baseline,109.0,646.0,12.0
fixed cruise baseline,110.0,658.0,12.0
fixed cruise baseline,111.0,670.0,12.0
fixed cruise baseline,112.0,682.0,12.0
fixed cruise baseline,113.0,694.0,12.0
fixed cruise baseline,114.0,706.0,12.0
fixed cruise baseline,115.0,718.0,12.0
fixed cruise baseline,116.0,730.0,12.0
fixed cruise baseline,117.0,742.0,12.0
fixed cruise baseline,118.0,754.0,12.0
fixed cruise baseline,119.0,766.0,12.0
fixed cruise baseline,120.0,778.0,12.0
fixed cruise baseline,121.0,790.0,12.0
fixed cruise baseline,122.0,802.0,12.0
fixed cruise baseline,123.0,814.0,12.0
fixed cruise baseline,124.0,826.0,12.0
fixed cruise baseline,125.0,838.0,12.0
fixed cruise baseline,126.0,850.0,12.0
fixed cruise baseline,127.0,862.0,12.0
fixed cruise baseline,128.0,874.0,12.0
fixed cruise baseline,129.0,886.0,12.0
fixed cruise baseline,130.0,898.0,12.0
fixed cruise baseline,131.0,910.0,12.0
fixed cruise baseline,132.0,922.0,12.0
fixed cruise baseline,133.0,934.0,12.0
fixed cruise baseline,133.5,940.0,12.0
fixed cruise baseline,134.5,952.0,12.0
fixed cruise baseline,135.5,964.0,12.0
fixed cruise baseline,136.5,976.0,12.0
fixed cruise baseline,137.5,988.0,12.0
fixed cruise baseline,138.5,1000.0,12.0
fixed cruise baseline,139.5,1012.0,12.0
fixed cruise baseline,140.5,1024.0,12.0
fixed cruise baseline,141.5,1036.0,12.0
fixed cruise baseline,142.5,1048.0,12.0
fixed cruise baseline,143.5,1060.0,12.0
fixed cruise baseline,144.5,1072.0,12.0
fixed cruise baseline,145.5,1084.0,12.0
fixed cruise baseline,146.5,1096.0,12.0
fixed cruise baseline,147.5,1108.0,12.0
fixed cruise baseline,148.5,1120.0,12.0
fixed cruise baseline,149.5,1132.0,12.0
fixed cruise baseline,150.5,1144.0,12.0
fixed cruise baseline,151.5,1156.0,12.0
fixed cruise baseline,152.5,1168.0,12.0
fixed cruise baseline,153.5,1180.0,12.0
fixed cruise baseline,154.5,1192.0,12.0
fixed cruise baseline,155.5,1204.0,12.0
fixed cruise baseline,156.5,1216.0,12.0
fixed cruise baseline,157.5,1228.0,12.0
fixed cruise baseline,158.5,1240.0,12.0
fixed cruise baseline,159.5,1252.0,12.0
fixed cruise baseline,160.167,1260.0,12.0
fixed cruise baseline,161.167,1272.0,12.0
fixed cruise baseline,162.167,1284.0,12.0
fixed cruise baseline,163.167,1296.0,12.0
fixed cruise baseline,164.167,1308.0,12.0
fixed cruise baseline,165.167,1320.0,12.0
fixed cruise baseline,166.167,1332.0,12.0
fixed cruise baseline,167.167,1344.0,12.0
fixed cruise baseline,168.167,1356.0,12.0
fixed cruise baseline,169.167,1368.0,12.0
fixed cruise baseline,170.167,1380.0,12.0
fixed cruise baseline,171.167,1392.0,12.0
fixed cruise baseline,172.167,1404.0,12.0
fixed cruise baseline,173.167,1416.0,12.0
fixed cruise baseline,174.167,1428.0,12.0
fixed cruise baseline,175.167,1440.0,12.0
fixed cruise baseline,176.167,1452.0,12.0
fixed cruise baseline,177.167,1464.0,12.0
fixed cruise baseline,178.167,1476.0,12.0
fixed cruise baseline,179.167,1488.0,12.0
fixed cruise baseline,180.167,1500.0,12.0
