time_s,gap_error_car_2_m,gap_error_car_3_m,gap_error_car_4_m,gap_error_car_5_m
12.800000,1.863406,2.081134,2.290093,2.460917
12.900000,1.879024,2.096116,2.306898,2.481753
13.000000,1.894045,2.110353,2.322755,2.501482
13.100000,1.915740,2.123871,2.337694,2.520127
13.200000,1.941443,2.137251,2.351744,2.537715
13.300000,1.876760,2.062089,2.276236,2.465531
13.400000,1.813802,1.988743,2.201738,2.394076
13.500000,1.752552,1.917197,2.128291,2.323351
13.600000,1.692993,1.847430,2.055935,2.253360
13.700000,1.635102,1.779427,1.984705,2.184108
13.800000,1.578857,1.713167,1.914634,2.115605
13.900000,1.524235,1.648634,1.845751,2.047863
14.000000,1.471208,1.585808,1.778082,1.980897
14.100000,1.419750,1.524671,1.711652,1.914721
14.200000,1.369833,1.465202,1.646481,1.849354
14.300000,1.321428,1.407382,1.582589,1.784812
14.400000,1.274504,1.351190,1.519991,1.721115
14.500000,1.229032,1.296604,1.458702,1.658281
14.600000,1.184980,1.243604,1.398733,1.596331
14.700000,1.142317,1.192165,1.340094,1.535284
14.800000,1.101012,1.142266,1.282793,1.475160
14.900000,1.061032,1.093881,1.226836,1.415977
15.000000,1.022345,1.046988,1.172226,1.357754
15.100000,0.984921,1.001561,1.118966,1.300509
15.200000,0.948727,0.957575,1.067055,1.244261
15.300000,0.913731,0.915004,1.016493,1.189025
15.400000,0.879903,0.873821,0.967276,1.134817
15.500000,0.847210,0.834001,0.919399,1.081652
15.600000,0.815622,0.795516,0.872857,1.029543
15.700000,0.785108,0.758339,0.827643,0.978504
15.800000,0.755639,0.722443,0.783746,0.928547
15.900000,0.727184,0.687799,0.741157,0.879680
16.000000,0.699714,0.654380,0.699865,0.831914
16.100000,0.673201,0.622158,0.659857,0.785255
16.200000,0.647615,0.591105,0.621119,0.739712
16.300000,0.622930,0.561193,0.583637,0.695289
16.400000,0.599118,0.532394,0.547396,0.651991
16.500000,0.576152,0.504679,0.512378,0.609819
16.600000,0.554005,0.478021,0.478566,0.568776
16.700000,0.532653,0.452393,0.445942,0.528862
16.800000,0.512070,0.427766,0.414488,0.490076
16.900000,0.492232,0.404113,0.384183,0.452415
17.000000,0.473114,0.381406,0.355008,0.415878
17.100000,0.454694,0.359620,0.326941,0.380458
17.200000,0.436949,0.338727,0.299962,0.346151
17.300000,0.419856,0.318700,0.274050,0.312949
17.400000,0.403394,0.299515,0.249181,0.280846
17.500000,0.387541,0.281144,0.225334,0.249831
17.600000,0.372278,0.263563,0.202486,0.219896
17.700000,0.357584,0.246748,0.180614,0.191029
17.800000,0.343441,0.230672,0.159695,0.163219
17.900000,0.329828,0.215313,0.139706,0.136454
18.000000,0.316728,0.200647,0.120624,0.110720
18.100000,0.309373,0.186650,0.102424,0.086003
18.200000,0.305800,0.173699,0.085085,0.062288
18.300000,0.237623,0.097738,0.004353,-0.024700
18.400000,0.171514,0.024159,-0.074234,-0.109458
18.500000,0.107431,-0.047092,-0.150689,-0.192023
18.600000,0.045333,-0.116065,-0.225026,-0.272427
18.700000,-0.014823,-0.182810,-0.297263,-0.350702
18.800000,-0.073081,-0.247377,-0.367419,-0.426878
18.900000,-0.129483,-0.309816,-0.435515,-0.500984
19.000000,-0.184072,-0.370173,-0.501572,-0.573046
19.100000,-0.236894,-0.428496,-0.565615,-0.643092
19.200000,-0.287991,-0.484832,-0.627668,-0.711146
19.300000,-0.337407,-0.539227,-0.687757,-0.777235
19.400000,-0.385185,-0.591727,-0.745910,-0.841384
19.500000,-0.431368,-0.642376,-0.802153,-0.903615
19.600000,-0.476000,-0.691221,-0.856516,-0.963955
19.700000,-0.519121,-0.738304,-0.909029,-1.022426
19.800000,-0.560776,-0.783670,-0.959721,-1.079053
19.900000,-0.601003,-0.827362,-1.008625,-1.133861
20.000000,-0.639845,-0.869424,-1.055770,-1.186873
20.100000,-0.677341,-0.909897,-1.101190,-1.238114
20.200000,-0.713531,-0.948825,-1.144916,-1.287608
20.300000,-0.748453,-0.986248,-1.186982,-1.335380
20.400000,-0.782146,-1.022208,-1.227421,-1.381456
20.500000,-0.814646,-1.056745,-1.266267,-1.425861
20.600000,-0.845992,-1.089900,-1.303553,-1.468620
20.700000,-0.876217,-1.121712,-1.339314,-1.509759
20.800000,-0.905358,-1.152220,-1.373584,-1.549304
20.900000,-0.933449,-1.181464,-1.406397,-1.587283
21.000000,-0.960523,-1.209479,-1.437787,-1.623722
21.100000,-0.986612,-1.236305,-1.467789,-1.658647
21.200000,-1.011750,-1.261978,-1.496438,-1.692088
21.300000,-1.035966,-1.286534,-1.523768,-1.724071
21.400000,-1.059291,-1.310009,-1.549813,-1.754624
21.500000,-1.081756,-1.332436,-1.574607,-1.783776
21.600000,-1.103387,-1.353852,-1.598185,-1.811555
21.700000,-1.124215,-1.374289,-1.620580,-1.837990
21.800000,-1.144265,-1.393780,-1.641826,-1.863110
21.900000,-1.163564,-1.412357,-1.661957,-1.886943
22.000000,-1.182139,-1.430052,-1.681006,-1.909520
22.100000,-1.200013,-1.446896,-1.699004,-1.930869
22.200000,-1.217212,-1.462919,-1.715986,-1.951021
22.300000,-1.233758,-1.478150,-1.731983,-1.970003
22.400000,-1.249675,-1.492619,-1.747027,-1.987847
22.500000,-1.264985,-1.506353,-1.761149,-2.004581
22.600000,-1.279710,-1.519380,-1.774381,-2.020235
22.700000,-1.293869,-1.531726,-1.786752,-2.034839
22.800000,-1.307484,-1.543418,-1.798293,-2.048422
22.900000,-1.320574,-1.554480,-1.809033,-2.061013
23.000000,-1.333157,-1.564938,-1.819001,-2.072641
23.100000,-1.345253,-1.574815,-1.828227,-2.083337
23.200000,-1.356879,-1.584135,-1.836737,-2.093128
23.300000,-1.368051,-1.592921,-1.844560,-2.102043
23.400000,-1.378788,-1.601194,-1.851722,-2.110111
23.500000,-1.389104,-1.608975,-1.858250,-2.117360
23.600000,-1.399016,-1.616286,-1.864170,-2.123819
23.700000,-1.408537,-1.623146,-1.869506,-2.129514
23.800000,-1.417684,-1.629575,-1.874284,-2.134473
23.900000,-1.426469,-1.635592,-1.878528,-2.138723
24.000000,-1.434907,-1.641214,-1.882261,-2.142292
24.100000,-1.448260,-1.646461,-1.885506,-2.145204
24.200000,-1.464595,-1.651747,-1.888286,-2.147487
24.300000,-1.415555,-1.593055,-1.826392,-2.084906
24.400000,-1.367841,-1.535816,-1.765408,-2.023005
24.500000,-1.321436,-1.480012,-1.705365,-1.961789
24.600000,-1.276327,-1.425629,-1.646291,-1.901266
24.700000,-1.232495,-1.372651,-1.588210,-1.841448
24.800000,-1.189922,-1.321061,-1.531146,-1.782344
24.900000,-1.148589,-1.270844,-1.475118,-1.723969
25.000000,-1.108475,-1.221984,-1.420146,-1.666337
25.100000,-1.069558,-1.174464,-1.366243,-1.609461
25.200000,-1.031815,-1.128267,-1.313425,-1.553357
25.300000,-0.995225,-1.083376,-1.261702,-1.498041
25.400000,-0.959763,-1.039772,-1.211085,-1.443528
25.500000,-0.925406,-0.997438,-1.161581,-1.389834
25.600000,-0.892129,-0.956356,-1.113197,-1.336974
25.700000,-0.859909,-0.916505,-1.065938,-1.284963
25.800000,-0.828720,-0.877866,-1.019805,-1.233817
25.900000,-0.798538,-0.840420,-0.974802,-1.183548
26.000000,-0.769338,-0.804147,-0.930928,-1.134171
26.100000,-0.741096,-0.769025,-0.888181,-1.085698
26.200000,-0.713788,-0.735033,-0.846558,-1.038141
26.300000,-0.687388,-0.702150,-0.806057,-0.991512
26.400000,-0.661873,-0.670356,-0.766671,-0.945820
26.500000,-0.637219,-0.639627,-0.728394,-0.901075
26.600000,-0.613402,-0.609941,-0.691218,-0.857285
26.700000,-0.590399,-0.581278,-0.655136,-0.814458
26.800000,-0.568186,-0.553614,-0.620137,-0.772600
26.900000,-0.546741,-0.526927,-0.586211,-0.731716
27.000000,-0.526042,-0.501194,-0.553346,-0.691811
27.100000,-0.506066,-0.476393,-0.521531,-0.652887
27.200000,-0.486792,-0.452502,-0.490752,-0.614947
27.300000,-0.468198,-0.429497,-0.460995,-0.577992
27.400000,-0.450264,-0.407357,-0.432246,-0.542022
27.500000,-0.432970,-0.386060,-0.404490,-0.507036
27.600000,-0.416295,-0.365582,-0.377712,-0.473031
27.700000,-0.400220,-0.345902,-0.351894,-0.440007
27.800000,-0.384726,-0.326997,-0.327020,-0.407957
27.900000,-0.369794,-0.308847,-0.303074,-0.376878
28.000000,-0.355406,-0.291430,-0.280037,-0.346763
28.100000,-0.341545,-0.274724,-0.257891,-0.317606
28.200000,-0.328193,-0.258709,-0.236619,-0.289400
28.300000,-0.315333,-0.243363,-0.216202,-0.262136
28.400000,-0.302949,-0.228666,-0.196621,-0.235805
28.500000,-0.291024,-0.214598,-0.177857,-0.210397
28.600000,-0.279544,-0.201139,-0.159891,-0.185901
28.700000,-0.268494,-0.188270,-0.142705,-0.162307
28.800000,-0.257858,-0.175971,-0.126278,-0.139602
28.900000,-0.247622,-0.164224,-0.110591,-0.117774
29.000000,-0.237773,-0.153010,-0.095625,-0.096810
29.100000,-0.228297,-0.142311,-0.081361,-0.076696
29.200000,-0.219181,-0.132109,-0.067779,-0.057418
29.300000,-0.210412,-0.122387,-0.054860,-0.038961
29.400000,-0.201978,-0.113128,-0.042585,-0.021311
29.500000,-0.193867,-0.104315,-0.030936,-0.004452
29.600000,-0.186068,-0.095933,-0.019892,0.011633
29.700000,-0.178570,-0.087965,-0.009435,0.026958
29.800000,-0.171361,-0.080395,0.000452,0.041540
29.900000,-0.164431,-0.073209,0.009790,0.055396
30.000000,-0.157771,-0.066393,0.018594,0.068542
30.100000,-0.151369,-0.059932,0.026885,0.080996
30.200000,-0.145218,-0.053811,0.034678,0.092774
30.300000,-0.139307,-0.048018,0.041993,0.103895
30.400000,-0.133627,-0.042540,0.048844,0.114374
30.500000,-0.128171,-0.037363,0.055251,0.124230
30.600000,-0.122929,-0.032476,0.061228,0.133480
30.700000,-0.117895,-0.027866,0.066792,0.142141
30.800000,-0.113059,-0.023522,0.071959,0.150231
30.900000,-0.108415,-0.019433,0.076745,0.157767
31.000000,-0.103956,-0.015587,0.081165,0.164766
31.100000,-0.099674,-0.011975,0.085233,0.171245
31.200000,-0.095562,-0.008585,0.088965,0.177222
31.300000,-0.091615,-0.005408,0.092374,0.182713
31.400000,-0.087826,-0.002435,0.095474,0.187736
31.500000,-0.084188,0.000344,0.098279,0.192306
31.600000,-0.080697,0.002938,0.100803,0.196440
31.700000,-0.077346,0.005355,0.103056,0.200154
31.800000,-0.074130,0.007603,0.105054,0.203464
31.900000,-0.071045,0.009691,0.106806,0.206387
32.000000,-0.068084,0.011626,0.108326,0.208937
32.100000,-0.065242,0.013416,0.109624,0.211129
32.200000,-0.062517,0.015067,0.110712,0.212980
32.300000,-0.059902,0.016587,0.111600,0.214502
32.400000,-0.057393,0.017982,0.112299,0.215711
32.500000,-0.054987,0.019259,0.112819,0.216621
32.600000,-0.052679,0.020424,0.113169,0.217246
32.700000,-0.050465,0.021482,0.113360,0.217599
32.800000,-0.048343,0.022439,0.113399,0.217693
32.900000,-0.046307,0.023301,0.113296,0.217541
33.000000,-0.044355,0.024072,0.113060,0.217157
33.100000,-0.042483,0.024759,0.112697,0.216551
33.200000,-0.040688,0.025364,0.112218,0.215736
33.300000,-0.038967,0.025894,0.111627,0.214724
33.400000,-0.037318,0.026352,0.110934,0.213526
33.500000,-0.035737,0.026743,0.110145,0.212152
33.600000,-0.034221,0.027070,0.109267,0.210614
33.700000,-0.032768,0.027338,0.108306,0.208921
33.800000,-0.031375,0.027550,0.107268,0.207085
33.900000,-0.030040,0.027709,0.106159,0.205113
34.000000,-0.028761,0.027820,0.104986,0.203016
34.100000,-0.033035,0.027884,0.103752,0.200803
34.200000,-0.040822,0.027486,0.102464,0.198483
34.300000,0.019505,0.093714,0.168415,0.263383
34.400000,0.078086,0.158040,0.232925,0.326873
34.500000,0.134947,0.220501,0.295987,0.388982
34.600000,0.190120,0.281130,0.357599,0.449732
34.700000,0.243635,0.339961,0.417758,0.509147
34.800000,0.295524,0.397028,0.476464,0.567245
34.900000,0.345819,0.452364,0.533718,0.624043
35.000000,0.394554,0.506001,0.589525,0.679557
35.100000,0.441762,0.557970,0.643888,0.733800
35.200000,0.487477,0.608305,0.696814,0.786785
35.300000,0.531734,0.657037,0.748310,0.838522
35.400000,0.574567,0.704197,0.798385,0.889023
35.500000,0.616010,0.749818,0.847049,0.938297
35.600000,0.656098,0.793930,0.894314,0.986352
35.700000,0.694865,0.836566,0.940191,1.033198
35.800000,0.732346,0.877757,0.984693,1.078842
35.900000,0.768574,0.917533,1.027835,1.123294
36.000000,0.803583,0.955928,1.069631,1.166560
36.100000,0.837407,0.992972,1.110098,1.208648
36.200000,0.870078,1.028695,1.149251,1.249568
36.300000,0.901628,1.063131,1.187108,1.289326
36.400000,0.932091,1.096308,1.223687,1.327931
36.500000,0.961497,1.128259,1.259007,1.365393
36.600000,0.989878,1.159013,1.293087,1.401719
36.700000,1.017264,1.188602,1.325946,1.436919
36.800000,1.043684,1.217056,1.357606,1.471003
36.900000,1.069169,1.244404,1.388087,1.503981
37.000000,1.093747,1.270678,1.417410,1.535863
37.100000,1.117447,1.295905,1.445597,1.566660
37.200000,1.140295,1.320116,1.472670,1.596384
37.300000,1.162319,1.343339,1.498652,1.625047
37.400000,1.183545,1.365604,1.523565,1.652661
37.500000,1.203999,1.386938,1.547432,1.679238
37.600000,1.223706,1.407369,1.570276,1.704792
37.700000,1.242690,1.426924,1.592120,1.729338
37.800000,1.260976,1.445632,1.612989,1.752888
37.900000,1.278586,1.463518,1.632905,1.775458
38.000000,1.295542,1.480608,1.651892,1.797063
38.100000,1.311868,1.496929,1.669974,1.817719
38.200000,1.327584,1.512505,1.687174,1.837440
38.300000,1.342712,1.527362,1.703517,1.856245
38.400000,1.357270,1.541524,1.719025,1.874149
38.500000,1.371280,1.555014,1.733722,1.891168
38.600000,1.384760,1.567857,1.747632,1.907322
38.700000,1.397728,1.580074,1.760777,1.922627
38.800000,1.410203,1.591689,1.773181,1.937101
38.900000,1.422202,1.602722,1.784868,1.950762
39.000000,1.433741,1.613196,1.795858,1.963628
39.100000,1.450338,1.623131,1.806175,1.975719
39.200000,1.469968,1.632967,1.815842,1.987052
39.300000,1.421024,1.575638,1.757591,1.930327
39.400000,1.373384,1.519694,1.700129,1.874201
39.500000,1.327034,1.465121,1.643487,1.818673
39.600000,1.281961,1.411904,1.587695,1.763745
39.700000,1.238149,1.360030,1.532780,1.709423
39.800000,1.195582,1.309485,1.478765,1.655712
39.900000,1.154240,1.260255,1.425674,1.602623
40.000000,1.114105,1.212327,1.373525,1.550163
40.100000,1.075156,1.165685,1.322336,1.498347
40.200000,1.037373,1.120315,1.272124,1.447184
40.300000,1.000732,1.076201,1.222902,1.396690
40.400000,0.965212,1.033329,1.174682,1.346877
40.500000,0.930789,0.991680,1.127474,1.297759
40.600000,0.897441,0.951240,1.081288,1.249351
40.700000,0.865143,0.911990,1.036130,1.201667
40.800000,0.833872,0.873913,0.992005,1.154721
40.900000,0.803604,0.836991,0.948918,1.108527
41.000000,0.774315,0.801205,0.906871,1.063098
41.100000,0.745980,0.766537,0.865866,1.018448
41.200000,0.718576,0.732967,0.825902,0.974589
41.300000,0.692079,0.700476,0.786977,0.931533
41.400000,0.666465,0.669043,0.749090,0.889291
41.500000,0.641710,0.638649,0.712236,0.847875
41.600000,0.617791,0.609272,0.676410,0.807293
41.700000,0.594686,0.580892,0.641607,0.767554
41.800000,0.572371,0.553489,0.607818,0.728668
41.900000,0.550824,0.527040,0.575037,0.690640
42.000000,0.530022,0.501525,0.543254,0.653477
42.100000,0.509944,0.476923,0.512459,0.617184
42.200000,0.490568,0.453211,0.482642,0.581767
42.300000,0.471874,0.430369,0.453791,0.547227
42.400000,0.453841,0.408376,0.425894,0.513567
42.500000,0.436448,0.387209,0.398938,0.480790
42.600000,0.419676,0.366849,0.372909,0.448895
42.700000,0.403505,0.347273,0.347794,0.417882
42.800000,0.387916,0.328460,0.323578,0.387750
42.900000,0.372891,0.310390,0.300246,0.358496
43.000000,0.358412,0.293042,0.277781,0.330117
43.100000,0.344461,0.276395,0.256169,0.302610
43.200000,0.331020,0.260429,0.235393,0.275968
43.300000,0.318074,0.245125,0.215435,0.250188
43.400000,0.305605,0.230461,0.196280,0.225261
43.500000,0.293598,0.216419,0.177909,0.201182
43.600000,0.282037,0.202979,0.160306,0.177941
43.700000,0.270907,0.190123,0.143453,0.155531
43.800000,0.260194,0.177831,0.127331,0.133941
43.900000,0.249883,0.166086,0.111924,0.113162
44.000000,0.239960,0.154869,0.097213,0.093183
44.100000,0.234662,0.144162,0.083180,0.073992
44.200000,0.232400,0.134273,0.069808,0.055579
44.300000,0.177817,0.073345,0.005082,-0.014089
44.400000,0.124883,0.014318,-0.057941,-0.081985
44.500000,0.073568,-0.042851,-0.119270,-0.148140
44.600000,0.023838,-0.098202,-0.178917,-0.212578
44.700000,-0.024342,-0.151776,-0.236896,-0.275325
44.800000,-0.071004,-0.203610,-0.293220,-0.336405
44.900000,-0.116183,-0.253745,-0.347905,-0.395841
45.000000,-0.159914,-0.302216,-0.400968,-0.453653
45.100000,-0.202231,-0.349063,-0.452428,-0.509863
45.200000,-0.243170,-0.394322,-0.502303,-0.564491
45.300000,-0.282764,-0.438029,-0.550614,-0.617558
45.400000,-0.321049,-0.480221,-0.597381,-0.669081
45.500000,-0.358058,-0.520933,-0.642627,-0.719082
45.600000,-0.393826,-0.560202,-0.686374,-0.767577
45.700000,-0.428386,-0.598061,-0.728644,-0.814588
45.800000,-0.461772,-0.634547,-0.769462,-0.860131
45.900000,-0.494016,-0.669693,-0.808852,-0.904227
46.000000,-0.525151,-0.703533,-0.846838,-0.946893
46.100000,-0.555208,-0.736102,-0.883446,-0.988150
46.200000,-0.584221,-0.767432,-0.918701,-1.028016
46.300000,-0.612218,-0.797558,-0.952629,-1.066511
46.400000,-0.639231,-0.826511,-0.985256,-1.103653
46.500000,-0.665290,-0.854324,-1.016609,-1.139464
46.600000,-0.690424,-0.881029,-1.046714,-1.173963
46.700000,-0.714660,-0.906657,-1.075599,-1.207171
46.800000,-0.738028,-0.931240,-1.103289,-1.239107
46.900000,-0.760555,-0.954808,-1.129813,-1.269793
47.000000,-0.782267,-0.977392,-1.155198,-1.299250
47.100000,-0.803191,-0.999021,-1.179471,-1.327499
47.200000,-0.823352,-1.019725,-1.202659,-1.354562
47.300000,-0.842775,-1.039532,-1.224789,-1.380460
47.400000,-0.861484,-1.058472,-1.245890,-1.405215
47.500000,-0.879503,-1.076570,-1.265987,-1.428850
47.600000,-0.896855,-1.093856,-1.285107,-1.451387
47.700000,-0.913563,-1.110356,-1.303279,-1.472849
47.800000,-0.929647,-1.126096,-1.320528,-1.493258
47.900000,-0.945130,-1.141102,-1.336882,-1.512638
48.000000,-0.904951,-1.103378,-1.300345,-1.478991
48.100000,-0.863363,-1.065755,-1.263983,-1.445377
48.200000,-0.820592,-1.028109,-1.227782,-1.411801
48.300000,-0.776847,-0.990343,-1.191723,-1.378264
48.400000,-0.732320,-0.952383,-1.155780,-1.344767
48.500000,-0.687186,-0.914174,-1.119922,-1.311309
48.600000,-0.641606,-0.875678,-1.084119,-1.277889
48.700000,-0.595726,-0.836873,-1.048338,-1.244500
48.800000,-0.549680,-0.797750,-1.012546,-1.211136
48.900000,-0.503589,-0.758310,-0.976714,-1.177788
49.000000,-0.457564,-0.718564,-0.940814,-1.144446
49.100000,-0.411703,-0.678531,-0.904820,-1.111099
49.200000,-0.366098,-0.638237,-0.868712,-1.077734
49.300000,-0.320829,-0.597712,-0.832470,-1.044338
49.400000,-0.275969,-0.556992,-0.796080,-1.010897
49.500000,-0.231583,-0.516116,-0.759532,-0.977398
49.600000,-0.187729,-0.475126,-0.722819,-0.943828
49.700000,-0.144458,-0.434065,-0.685938,-0.910174
49.800000,-0.101814,-0.392977,-0.648891,-0.876423
49.900000,-0.059838,-0.351907,-0.611680,-0.842566
50.000000,-0.018564,-0.310902,-0.574315,-0.808592
50.100000,0.021979,-0.270007,-0.536805,-0.774492
50.200000,0.061766,-0.229265,-0.499165,-0.740261
50.300000,0.100776,-0.188721,-0.461411,-0.705893
50.400000,0.138992,-0.148417,-0.423562,-0.671384
50.500000,0.176400,-0.108394,-0.385639,-0.636734
50.600000,0.157910,-0.120712,-0.399684,-0.653961
50.700000,0.137745,-0.132603,-0.412686,-0.670032
50.800000,0.116108,-0.144252,-0.424707,-0.684970
50.900000,0.093186,-0.155811,-0.435821,-0.698802
51.000000,0.069151,-0.167412,-0.446106,-0.711558
51.100000,0.039914,-0.179159,-0.455646,-0.723272
51.200000,0.007196,-0.191465,-0.464527,-0.733981
51.300000,0.026477,-0.152560,-0.420839,-0.691705
51.400000,0.043896,-0.115454,-0.377742,-0.649529
51.500000,0.059587,-0.080160,-0.335326,-0.607484
51.600000,0.073676,-0.046683,-0.293679,-0.565608
51.700000,0.086280,-0.015015,-0.252881,-0.523942
51.800000,0.097507,0.014859,-0.213007,-0.482531
